Tahoe 3 Camo|Nordway|Трекинговая|3|Классическая 3-х местная палатка с вместительным передним тамбуром.|001t.jpg#
Artezian 3|Salewa|Кемпинговая|3|Палатка Salewa Artesian III - удобная палатка с высокой водонепроницаемостью, предназначенная для кемпинга. Вместимость палатки - 3 человека, геометрия купола - полусфера. В кемпинговой палатке Salewa Artesian III предусмотрена комната и тамбур, вход один. Палатка оснащена двумя вентиляционными отверстиями, их размер можно регулировать. Внутреннее пространство модели Salewa Artesian III организовано достаточно удобно для туристов: есть два больших внутренних кармана для личных вещей. Тент и дно кемпинговой палатки изготовлены из нейлона, все швы проклеены, вход во внутреннюю палатку оборудован москитной сеткой.|002t.jpg#
Peak 2|Rock Land|Трекинговая|2|Для активного отдыха, туризма, рыбалки и охоты. Небольшой вес и компактная упаковка – хороший вариант для путешествий пешком. Два входа обеспечивают хорошую вентиляцию.|003t.jpg#
Camper 5|Rock Land|Кемпинговая|5|Кемпинговая палатка RockLand Camper 5 используются для комфортного отдыха во время пикников или выездов на природу всей семьей на автомобиле. Она очень проста в установке и удобна в эксплуатации. Палатка выделяется повышенной вместительностью и большими размерами. |004t.jpg#
Laguna 4+|Rock Land|Кемпинговая|5|Комфортабельная 5-и местная палатка для семейного отдыха на природе и организации палаточных лагерей. Палатка имеет большой тамбур со съемным дном и тремя входами, усиленный каркас. Перед входом можно организовать навес на двух стойках. На тенте палатки имеются прозрачные окна. Комнаты при желании можно объединить, сняв перегородку между ними. В комплекте шесть дополнительных усиленных колышков. Рекомендации по применению: автотуризм, кемпинг, организация палаточных лагерей.|005t.jpg#
Weekend 4|Green Land|Кемпинговая|4|Weekend 4 палатка - двухслойная кемпинговая палатка с двумя спальнями и большим тамбуром с двумя входами. Две отдельные спальни позволят комфортно расположиться двум компаниям, а тамбур с козырьком послужит как кухня, столовая, склад вещей и багажа, увеличить полезную площадь под эти нужды позволит установка палатки без спален.|006t.jpg#
Wind 3|Alaska|Трекинговая|3| Палатка ALASKA «Винд 3» создана для любителей комфортного отдыха на природе. Если вы собираетесь провести пикник с ночевкой на свежем воздухе, то эта палатка станет превосходным «домом» на время загородной поездки. Удобная и уютная модель с надежной конструкцией:  верхняя полочка во внутренней палатке;  два D-образных входа с небольшими тамбурами. В комплекте колышки из алюминия.|007t.jpg#
Tower 3|Alexika|Трекинговая|3|Трехместная палатка купольного типа для путешествий с велосипедами или большим багажом. Палатка заслужила известность, как одна из наиболее комфортных в серии трекинг. Три входа, просторный тамбур для небольшой кухни, рюкзаков и велосипеда. Палатка подойдет и для семейного отдыха на природе.|008t.jpg#
Tonga 3TX|Atemi|Трекинговая|4|Простенькая палатка для тех кто не планирует в ливень спать в палатке. И все же является двухслойной. Сшита добротно, притензий ни каких. Очень легкая и собрать сможет даже ребенок|009t.jpg#
Girona 5|Campus|Кемпинговая|5|Кемпинговая палатка Campus Girona 5 используется для комфортного отдыха во время пикников или выездов на природу всей семьей на автомобиле. Она очень проста в установке и удобна в эксплуатации. Палатка выделяется повышенной вместительностью и большими размерами.|010t.jpg#
